version,1.3.0
info,team,Perth Scorchers
info,team,Melbourne Stars
info,gender,female
info,season,2016/17
info,date,2017/01/15
info,competition,Women's Big Bash League
info,match_number,46
info,venue,Lilac Hill Park
info,city,Perth
info,toss_winner,Melbourne Stars
info,toss_decision,field
info,player_of_match,KH Brunt
info,umpire,NR Johnstone
info,umpire,Hennie Botes
info,match_referee,MP Hall
info,winner,Perth Scorchers
info,winner_runs,33
ball,1,9.1,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,0,1,"",""
ball,1,9.2,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,0,0,"",""
ball,1,9.3,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,0,0,"",""
ball,1,9.4,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,0,0,"",""
ball,1,9.5,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,0,0,"",""
ball,1,9.6,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,1,0,"",""
ball,1,9.7,Perth Scorchers,H Graham,LK Ebsary,NR Sciver,1,0,"",""
ball,1,10.1,Perth Scorchers,H Graham,LK Ebsary,MJG Nielsen,1,0,"",""
ball,1,10.2,Perth Scorchers,LK Ebsary,H Graham,MJG Nielsen,1,0,"",""
ball,1,10.3,Perth Scorchers,H Graham,LK Ebsary,MJG Nielsen,1,0,"",""
ball,1,10.4,Perth Scorchers,LK Ebsary,H Graham,MJG Nielsen,1,0,"",""
ball,1,10.5,Perth Scorchers,H Graham,LK Ebsary,MJG Nielsen,0,2,"",""
ball,1,10.6,Perth Scorchers,H Graham,LK Ebsary,MJG Nielsen,1,0,"",""
ball,1,11.1,Perth Scorchers,H Graham,LK Ebsary,GL Triscari,1,0,"",""
ball,1,11.2,Perth Scorchers,LK Ebsary,H Graham,GL Triscari,0,0,"",""
ball,1,11.3,Perth Scorchers,LK Ebsary,H Graham,GL Triscari,0,1,"",""
ball,1,11.4,Perth Scorchers,LK Ebsary,H Graham,GL Triscari,0,0,"",""
ball,1,11.5,Perth Scorchers,LK Ebsary,H Graham,GL Triscari,1,0,"",""
ball,1,11.6,Perth Scorchers,H Graham,LK Ebsary,GL Triscari,1,0,"",""
ball,1,11.7,Perth Scorchers,LK Ebsary,H Graham,GL Triscari,1,0,"",""
ball,1,12.1,Perth Scorchers,LK Ebsary,H Graham,MJG Nielsen,0,1,"",""
ball,1,12.2,Perth Scorchers,LK Ebsary,H Graham,MJG Nielsen,1,0,"",""
ball,1,12.3,Perth Scorchers,H Graham,LK Ebsary,MJG Nielsen,1,0,"",""
ball,1,12.4,Perth Scorchers,LK Ebsary,H Graham,MJG Nielsen,2,0,"",""
ball,1,12.5,Perth Scorchers,LK Ebsary,H Graham,MJG Nielsen,1,0,"",""
ball,1,12.6,Perth Scorchers,H Graham,LK Ebsary,MJG Nielsen,1,0,"",""
ball,1,12.7,Perth Scorchers,LK Ebsary,H Graham,MJG Nielsen,1,0,"",""
ball,1,13.1,Perth Scorchers,LK Ebsary,H Graham,E Kearney,1,0,"",""
ball,1,13.2,Perth Scorchers,H Graham,LK Ebsary,E Kearney,1,0,"",""
ball,1,13.3,Perth Scorchers,LK Ebsary,H Graham,E Kearney,1,0,"",""
ball,1,13.4,Perth Scorchers,H Graham,LK Ebsary,E Kearney,0,1,"",""
ball,1,13.5,Perth Scorchers,LK Ebsary,H Graham,E Kearney,0,0,"",""
ball,1,13.6,Perth Scorchers,LK Ebsary,H Graham,E Kearney,1,0,"",""
ball,1,14.1,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,1,0,"",""
ball,1,14.2,Perth Scorchers,H Graham,LK Ebsary,NR Sciver,2,0,"",""
ball,1,14.3,Perth Scorchers,H Graham,LK Ebsary,NR Sciver,1,0,"",""
ball,1,14.4,Perth Scorchers,LK Ebsary,H Graham,NR Sciver,1,0,"",""
ball,1,14.5,Perth Scorchers,H Graham,LK Ebsary,NR Sciver,0,0,caught,H Graham
ball,1,14.6,Perth Scorchers,LK Ebsary,KH Brunt,NR Sciver,1,0,"",""
ball,1,15.1,Perth Scorchers,LK Ebsary,KH Brunt,KM Beams,0,0,"",""
ball,1,15.2,Perth Scorchers,LK Ebsary,KH Brunt,KM Beams,0,0,"",""
ball,1,15.3,Perth Scorchers,LK Ebsary,KH Brunt,KM Beams,1,0,"",""
ball,1,15.4,Perth Scorchers,KH Brunt,LK Ebsary,KM Beams,2,0,"",""
ball,1,15.5,Perth Scorchers,KH Brunt,LK Ebsary,KM Beams,1,0,"",""
ball,1,15.6,Perth Scorchers,LK Ebsary,KH Brunt,KM Beams,1,0,"",""
ball,1,16.1,Perth Scorchers,LK Ebsary,KH Brunt,GL Triscari,1,0,"",""
ball,1,16.2,Perth Scorchers,KH Brunt,LK Ebsary,GL Triscari,1,0,"",""
ball,1,16.3,Perth Scorchers,LK Ebsary,KH Brunt,GL Triscari,1,0,"",""
ball,1,16.4,Perth Scorchers,KH Brunt,LK Ebsary,GL Triscari,4,0,"",""
ball,1,16.5,Perth Scorchers,KH Brunt,LK Ebsary,GL Triscari,1,0,"",""
ball,1,16.6,Perth Scorchers,LK Ebsary,KH Brunt,GL Triscari,0,0,"",""
ball,1,17.1,Perth Scorchers,KH Brunt,LK Ebsary,NR Sciver,1,0,"",""
ball,1,17.2,Perth Scorchers,LK Ebsary,KH Brunt,NR Sciver,1,0,"",""
ball,1,17.3,Perth Scorchers,KH Brunt,LK Ebsary,NR Sciver,1,0,"",""
ball,1,17.4,Perth Scorchers,LK Ebsary,KH Brunt,NR Sciver,4,0,"",""
ball,1,17.5,Perth Scorchers,LK Ebsary,KH Brunt,NR Sciver,1,0,"",""
ball,1,17.6,Perth Scorchers,KH Brunt,LK Ebsary,NR Sciver,4,0,"",""
ball,1,18.1,Perth Scorchers,LK Ebsary,KH Brunt,KM Beams,1,0,"",""
ball,1,18.2,Perth Scorchers,KH Brunt,LK Ebsary,KM Beams,6,0,"",""
ball,1,18.3,Perth Scorchers,KH Brunt,LK Ebsary,KM Beams,1,0,"",""
ball,1,18.4,Perth Scorchers,LK Ebsary,KH Brunt,KM Beams,0,0,"",""
ball,1,18.5,Perth Scorchers,LK Ebsary,KH Brunt,KM Beams,1,0,"",""
ball,1,18.6,Perth Scorchers,KH Brunt,LK Ebsary,KM Beams,6,0,"",""
ball,1,19.1,Perth Scorchers,LK Ebsary,KH Brunt,GL Triscari,4,0,"",""
ball,1,19.2,Perth Scorchers,LK Ebsary,KH Brunt,GL Triscari,1,0,"",""
ball,1,19.3,Perth Scorchers,KH Brunt,LK Ebsary,GL Triscari,1,0,"",""
ball,1,19.4,Perth Scorchers,LK Ebsary,KH Brunt,GL Triscari,1,0,"",""
ball,1,19.5,Perth Scorchers,KH Brunt,LK Ebsary,GL Triscari,2,0,"",""
ball,1,19.6,Perth Scorchers,KH Brunt,LK Ebsary,GL Triscari,1,0,"",""
ball,2,0.1,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,0,0,"",""
ball,2,0.2,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,0,0,"",""
ball,2,0.3,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,0,0,"",""
ball,2,0.4,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,0,1,"",""
ball,2,0.5,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,0,1,"",""
ball,2,0.6,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,0,0,"",""
ball,2,0.7,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,0,0,"",""
ball,2,0.8,Melbourne Stars,MM Lanning,EJ Inglis,A Shrubsole,1,0,"",""
